group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,site_type,last_updated
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,120,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,5,3,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,10,22,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,20,116,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,NM,42,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,30,28,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,40,5,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,60,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,70,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,80,6,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PYCHEL,50,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2015,Summer,SU15,138,7/1/2015,7/1/2015,sea_star,EVATRO,NM,14,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2015,Summer,SU15,138,7/1/2015,7/1/2015,sea_star,PISOCH,NM,138,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,EVATRO,90,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,EVATRO,100,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,EVATRO,20,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,EVATRO,40,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,EVATRO,50,5,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,EVATRO,70,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,PISOCH,100,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,PISOCH,120,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,PISOCH,130,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,PISOCH,150,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2016,Summer,SU16,142,7/1/2016,7/1/2016,sea_star,PISOCH,20,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
