CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site5ff-S137
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia haitanensis	0	0	0	2	3	0	0	0	0	1	0	1	0	10	2	0	0	9	0	4	1	3	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	1	1	1	1	2	0	3	0	4
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca sp. 2gaudichaudii	4	0	5	4	0	0	0	0	0	0	4	0	0	44	2	2	2	6	0	6	1	5	16	6	0	4	0	1	9	0	2	0	10	0	0	1	4	0	0	1	0	7	1	0	0	0	4	3	0	5	2	0	1	3	2
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	412	6	1248	737	641	1503	112	0	162	2966	273	307	0	4266	1741	1388	49	1393	983	14573	0	1436	1868	3682	547	17	2	632	2536	8043	1980	2728	8226	3	144	377	523	110	0	350	462	299	486	3904	190	677	24	2531	1305	5872	748	29	11602	698	12859
Eukaryota;Mollusca;Polyplacophora;Neoloricata;Mopaliidae;Mopalia;Mopalia muscosa	0	0	0	6	0	17	0	0	0	0	0	52	0	2	4	42	0	0	2	0	0	0	0	0	1	0	0	0	324	0	1	19	0	0	0	0	0	0	1	0	1	126	0	1	0	2	3	0	0	2	0	4	0	3	1
Eukaryota;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	0	1	0	2	0	2	11	0	0	0	0	2	0	3	2	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	6	1	0	0	5	1	6	0	0	0	0	0	0	0	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema japonicum	0	0	1	3	5	2	1	0	0	0	0	1	0	1	3	0	3	1	0	13	0	0	3	0	0	0	1	0	1	3	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	1	1	4	0	0	2	0	0	0	2
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Centropages;Centropages abdominalis	0	0	0	0	560	0	0	0	0	0	0	178	0	0	0	0	1	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	115	0	0	0	0	52	0	1	154	286	63	0	0	5	0	0
Eukaryota;Mollusca;Gastropoda;NA;Lacunidae;Lacuna;Lacuna vincta	0	0	5	4	13	2	18	0	0	1	99	56	0	0	2	46	219	10	0	0	0	0	13	0	2	4	0	0	0	0	0	0	0	0	2	160	0	1	0	3	8	2	0	156	0	4	2	107	1	0	0	104	3	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	4	0	0	7	0	2	0	0	1	15	18	7	0	123	3	9	4	21	6	196	0	44	40	95	0	6	0	14	176	41	28	6	48	0	2	1	1	0	5	2	1	2	2	16	0	4	6	1	18	31	29	9	12	4	50
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;Formosa sp. Hel3_A1_48	0	0	8	8	6	21	0	0	0	0	0	1	0	20	4	0	5	3	0	0	0	1	5	1	0	4	3	0	1	1	0	0	2	0	0	1	4	0	2	0	1	3	2	2	12	8	1	0	0	0	1	0	0	0	2
Eukaryota;Mollusca;Gastropoda;NA;Margaritidae;Margarites;Margarites pupillus	0	0	23	616	4	39	5	0	0	2	0	3	0	2	4720	0	20	442	18	0	0	0	0	0	0	16	7	0	93	6	17	0	1	0	0	10	17	3	2	800	8	0	9	23	73	27	25	51	0	0	0	6	0	0	3
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	0	0	10	46	0	63	2	0	0	0	1	6	0	8	9	0	10	9	8	0	0	1	0	1	0	12	0	0	0	0	6	0	0	0	0	6	8	1	2	13	8	0	0	1	3	53	0	2	0	0	0	1	3	1	0
Eukaryota;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha speculum	0	0	0	1	2	2	0	0	0	0	0	1	0	6	2	0	4	2	0	7	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	5	6	1	1	2	0	0	0	0	3	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Oxydromus;Oxydromus pugettensis	0	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	3	100	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	1	1	2	1
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Protodorvillea;Protodorvillea gracilis	0	6	0	5	0	0	64	0	0	0	7	2	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	38	0	0	3	7	4	0	0	3	0	6	0	0	0	0	0	0	0	0	5
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	2	0	7	1	141	3	2	0	0	0	7	3	0	42	6	0	78	23	1	0	0	3	39	2	3	16	1	0	0	0	4	0	24	0	2	19	2	0	1	8	13	4	19	51	9	7	5	9	0	1	1	0	6	4	17
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	6	2	11	24	26	23	1	0	1	20	15	4	0	5	17	22	67	11	15	8	1	10	132	7	0	18	0	0	18	3	19	67	17	0	6	7	27	1	3	12	1	4	14	45	12	13	19	95	1	8	1	6	22	3	40
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium humile	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia longissima	0	0	0	0	0	4	0	0	0	0	1	4	0	0	6	1	0	1	0	0	0	8	4	0	0	2	0	0	0	0	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia bipinnata	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	3
Eukaryota;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	0	1	0	2	8	0	0	0	0	0	0	7	0	0	2	0	5	0	17	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	4	1	0	0	10	2	0	1	2	0	0	0	0	0	0	0
