18S_Euk_seq_number	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5q-S122
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Clavidae;Rhizogeton;Rhizogeton nudus	3	4	4	0	0	3	36	6	15	0	0	0	0	32	1	0	0	2	1	0	1	2	0	0	6	0	2	0	0	1	5	33	1	0	0	79	0	0	9	0	1	243	12	0	0	40	1008	35	0	0	0	0	0	4	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	173	406	412	74	2	16	149	417	243	19	368	83	12	56	199	54	43	1004	102	114	160	261	353	809	130	52	145	3	111	257	399	282	155	0	98	1015	59	198	265	147	151	33	175	219	0	319	75	245	163	0	17	0	0	38	0
Eukaryota;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	18	21	177	18	0	12	19	59	765	108	156	31	8	0	90	21	19	365	39	67	40	53	227	24	19	6	80	2	71	29	92	146	29	0	55	212	35	1	155	8	46	17	53	108	0	226	72	180	69	0	6	0	0	30	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	417	2010	2210	231	9	28	141	1641	2725	116	843	522	356	418	1159	322	362	2649	185	255	628	1479	3635	2742	629	760	1777	11	327	1091	2058	1357	797	1	501	3771	117	314	380	631	2014	278	1015	2114	0	714	1035	344	1453	0	1646	0	0	523	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	51	86	96	78	0	4	174	80	89	26	272	26	18	20	105	21	17	230	47	49	156	41	108	19	87	42	89	5	136	55	70	135	31	0	25	673	37	4	63	9	44	11	82	152	0	214	48	57	76	0	22	0	0	23	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Ulothrix;Ulothrix sp. WAP24	9	28	81	11	0	3	45	41	33	1	50	4	2	19	16	4	285	939	4	6	22	15	104	6	18	1	77	0	5	75	74	46	11	0	12	279	16	11	19	0	22	3	70	103	0	51	26	17	89	0	30	0	0	2	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	173	409	298	14	0	15	42	327	711	4	79	40	25	22	128	15	36	338	111	85	34	165	197	1107	205	13	95	2	55	233	413	490	56	0	39	179	147	4	212	59	80	25	99	96	0	248	105	227	91	0	731	0	0	33	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Dactylopusiidae;Dactylopusia;Dactylopusia sp. New Caledonia-RJH-2007	0	2	10	546	0	0	29	6	10	6	6	1	0	685	7	0	108	22	0	2	8	235	6	0	266	2	1	0	1	16	4	19	31	0	0	1874	2	20	10	0	3	104	23	4	0	6	350	16	4	0	68	0	0	21	0
Eukaryota;NA;Phaeophyceae;Laminariales	59	185	463	50	3	9	347	271	953	15	121	41	16	169	143	37	138	441	44	29	100	391	339	71	135	36	377	0	24	218	170	497	582	0	202	1401	23	108	644	10	399	78	415	470	0	297	227	409	571	0	211	0	0	53	1
Eukaryota;Haptophyta;NA	33	56	57	5	0	4	23	75	50	0	24	5	1	2	20	4	4	133	15	10	3	15	30	3	45	2	8	0	10	44	28	41	27	0	8	78	16	0	41	3	13	4	14	4	0	46	11	50	5	0	4	0	0	8	0
