18S_Euk_seq_number	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5g-S97
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	536	370	281	360	193	513	369	124	25	0	334	0	0	216	170	3	104	86	326	675	62	273	118	0	2	230	97	87	41	54	2794	284	336	150	347	202	21	291	177	322	270	15	225	209	236	59	438	1158	134	173	257	339	0	163	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas	384	234	71	270	40	25	38	87	11	0	272	1	0	193	16	1	86	89	334	409	7	204	648	0	7	213	93	75	23	52	37	18	180	121	51	185	9	148	48	180	320	13	71	40	154	73	210	3	136	49	36	383	0	35	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodiniellum;Gyrodiniellum shiwhaense	3027	2548	163	3122	531	685	57	520	1269	0	2230	2	0	155	1392	9	1482	1327	615	3967	589	1987	1620	1	8	2395	678	771	43	218	4048	74	2489	199	1581	3445	69	1612	177	4040	1807	82	144	86	1337	2297	2286	1262	1475	127	429	533	3	36	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Geminigera;Geminigera cryophila	201	118	31	185	10	11	11	49	6	0	109	0	0	34	3	2	32	48	43	215	4	110	45	0	0	83	43	38	4	17	16	5	98	29	19	145	6	68	16	119	156	7	24	1	38	52	98	1	52	31	2	51	0	6	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida	2024	278	2201	2116	160	1347	512	361	378	0	270	11	0	9	214	1	856	554	114	1432	106	142	450	0	1	419	1726	499	361	547	24	376	2270	195	985	114	135	83	39313	620	104	21	1724	1557	528	36	110	117	321	746	0	175	7	4973	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona	11	0	0	166	0	0	28	0	64	0	107	0	0	1913	1	2	158	0	2	0	0	7	40	0	73	1	55	0	0	1	0	0	682	0	296	0	0	1186	4	0	2675	0	1	0	0	31	2425	1	0	46	67	0	0	4	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.	410	1756	22	2533	417	0	29	242	52	0	1088	0	0	9	2	5	1177	270	84	1714	34	1046	500	0	2	909	311	350	40	174	1508	38	715	50	50	1060	48	989	5	810	1869	19	9	82	432	541	1534	7	806	228	484	4	1	50	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;Calanus	11	0	0	0	241	0	0	3	0	0	1112	0	0	1	2	1	0	0	0	5	0	1	0	0	94	1	1	214	0	0	0	0	0	1	0	1	0	0	2449	1	5	0	1	0	1681	0	0	490	1	0	0	0	0	709	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	635	1428	0	1101	32	0	0	314	0	0	73	0	0	0	0	6	985	249	1	1282	0	421	629	0	0	107	675	165	0	135	944	0	819	0	11	497	43	847	0	1170	114	30	0	0	869	117	885	277	327	1	0	0	2	10	0
Bacteria;Pseudomonadota;Alphaproteobacteria	147	87	358	188	53	77	32	32	229	0	28	0	0	35	43	1	43	7	119	166	46	57	34	0	1	68	42	57	70	90	182	44	30	23	92	106	28	39	92	178	68	6	238	23	27	46	80	118	91	321	15	313	2	66	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	366	47	522	132	40	31	34	47	224	0	129	1	0	56	86	1	28	11	615	98	6	70	49	0	8	77	107	41	68	103	124	28	44	47	93	59	27	30	231	80	571	30	362	47	44	47	41	46	44	434	6	609	0	51	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia duriuscula	146	22	9	44	13	1	0	21	1	0	28	0	0	1	0	1	22	5	12	37	0	35	20	0	0	37	61	13	1	19	29	0	13	1	3	8	0	6	3	16	74	6	3	0	6	3	11	3	31	7	0	14	0	4	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	270	189	319	120	19	107	207	46	41	0	133	2	0	402	106	2	58	67	740	460	37	91	55	0	13	81	45	34	58	36	2125	157	145	256	254	139	13	69	279	191	151	2	245	152	169	28	170	13	34	152	52	856	0	150	0
Eukaryota;NA	297	189	146	164	21	27	31	68	41	0	163	0	0	39	20	14	65	62	141	330	7	150	59	0	2	162	96	85	40	40	67	19	166	19	83	149	12	91	71	1148	260	17	131	17	135	70	149	22	106	135	11	159	0	34	0
Eukaryota;Bacillariophyta;Bacillariophyceae	2731	721	1439	471	484	107	91	1037	300	0	649	4	0	59	369	2	315	94	573	1191	136	329	478	0	8	1113	444	730	319	1094	390	87	333	43	230	811	312	192	785	4089	743	46	1107	99	541	94	628	306	685	981	56	1257	4	224	0
Eukaryota;Ciliophora	970	418	120	481	51	24	64	305	49	0	548	0	0	652	36	2	161	168	487	1070	15	378	1031	0	4	414	181	144	33	98	89	46	315	25	229	279	38	437	147	509	598	33	105	64	188	97	469	12	231	171	140	430	4	64	0
Eukaryota;NA;Chrysophyceae	52	24	6	30	1	2	2	16	0	0	26	0	0	11	0	1	12	7	17	64	0	34	8	0	0	21	17	10	3	9	6	1	12	6	5	30	3	11	3	36	34	2	13	2	22	6	26	0	11	4	2	26	0	2	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	3516	1373	744	1845	446	195	268	599	3413	0	706	1	0	439	71	1	805	320	1416	3217	207	717	485	0	18	885	479	1051	163	203	234	236	626	374	360	1080	65	543	548	2178	950	35	600	201	794	201	1184	227	777	494	112	1189	2	152	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	1909	254	102	412	194	32	5	464	52	0	1257	1	0	1	3	1	164	149	58	1108	1	258	764	0	2	829	673	182	32	844	0	3	456	11	2136	304	251	150	326	1129	1003	124	69	3	375	151	169	26	497	109	0	67	2	4	0
Eukaryota;NA;NA;Telonemida;NA;Telonema;Telonema antarcticum	131	150	60	148	12	17	23	39	10	0	138	0	0	58	8	1	46	52	145	272	4	139	51	0	3	96	48	56	15	44	17	14	109	50	30	120	7	117	23	147	158	12	37	18	100	50	151	2	75	35	11	189	0	20	0
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	233	169	12	142	23	4	6	58	2	0	121	0	0	15	2	1	53	35	53	271	0	133	53	0	0	80	50	42	2	28	784	3	98	12	6	99	9	89	6	120	156	8	13	5	78	288	150	1	82	7	4	33	0	3	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	1387	1316	700	1040	48	158	305	279	44	0	832	1	0	344	64	1	886	409	793	2530	44	1107	1494	0	13	860	363	354	113	109	1580	215	820	218	394	1550	28	499	390	1150	1113	46	571	165	695	324	1116	7	668	376	210	987	3	132	0
Eukaryota;NA;Dinophyceae;Peridiniales;Podolampadaceae;Roscoffia;Roscoffia capitata	44	78	22	139	5	2	5	16	2	0	148	0	0	16	0	1	52	43	21	169	1	106	37	0	1	95	47	32	2	13	4	6	56	6	16	122	3	53	11	70	108	6	16	2	49	59	97	0	54	15	3	23	0	5	0
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	0	0	0	0	0	0	0	0	0	0	36	0	0	0	5	1	0	0	0	86	0	0	10	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	58	0	0	0	38	1	2	0	13	0	0	112	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Paraliales;Paraliaceae;Paralia;Paralia sol	4138	710	286	258	469	346	129	1231	453	0	336	15	0	8	348	1	298	339	197	488	25	297	365	0	1	685	1378	798	237	1721	965	123	1560	11	227	302	420	541	685	2295	3228	139	223	394	700	83	732	99	320	103	29	110	2	270	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Tabularia	5335	3549	34867	4976	802	3976	474	4119	12635	0	626	9	0	103	124	1	1960	77	3770	5373	484	541	1857	0	19	1405	1597	6205	12103	2787	3120	400	613	207	9131	2248	828	359	11762	5234	1158	97	29023	340	786	97	1494	6614	3543	27845	438	14263	125	3293	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pelagimonas;Pelagimonas phthalicica	0	1	10	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	0	1	3	0	0	3	0	0	0	0	0	0	9	0	2	0	2	0
Eukaryota;Cercozoa	724	87	668	142	37	303	168	224	213	0	215	5	0	127	494	1	94	45	470	177	17	223	61	0	7	181	305	82	109	146	92	102	160	101	230	86	41	113	529	174	400	23	562	333	120	41	111	93	86	574	28	371	1	212	0
Eukaryota;Haptophyta;NA	143	140	21	98	11	7	9	30	7	0	81	0	0	40	2	1	64	28	89	249	2	78	27	0	1	63	39	47	5	20	8	10	84	30	20	59	6	57	17	105	120	6	30	13	36	26	91	0	68	20	5	75	0	8	0
Eukaryota;Annelida;Polychaeta;NA;Capitellidae;Capitella	1	0	2	1	1	0	1	0	0	0	3	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	1	0	0	0	3	0	19	0	3	0	0	8	0	0	0	2	0	2	0	0	0
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	740	321	268	286	44	346	71	101	758	0	225	2	0	106	26	1	87	88	456	599	21	285	81	0	5	164	171	97	32	63	64	33	188	113	87	148	15	165	209	283	398	25	224	52	161	78	210	8	156	167	28	300	1	38	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	226	80	97	138	26	43	22	48	123	0	20	0	0	10	38	1	81	5	48	113	229	15	117	0	1	44	3	44	13	39	155	22	35	16	24	118	7	24	37	125	34	1	86	13	66	19	101	15	54	73	43	196	1	11	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora cf. capitellata	129	34	56	32	5	8	17	64	18	0	26	0	0	3	0	1	15	2	1	51	5	19	573	0	0	51	35	28	19	28	12	7	10	2	20	26	5	7	37	30	23	0	52	2	26	1	19	98	35	29	2	32	0	26	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira oceanica	650	696	656	1351	92	63	103	323	1853	0	242	3	0	114	297	1	166	91	386	898	16	344	209	0	2	437	108	328	140	308	82	55	230	86	186	809	94	211	225	3526	276	15	505	104	441	62	749	35	469	462	44	859	2	124	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida	1916	406	9	261	16	375	9	84	2	0	1348	1	0	7	207	1	62	262	29	1313	28	1124	238	0	0	1263	125	109	9	29	8	3	261	13	1720	1144	20	250	4	120	1560	40	8	2	193	1311	290	6	274	9	3	72	1	6	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Omegastrombidium;Omegastrombidium elegans	476	45	176	89	17	39	21	215	42	0	297	0	0	46	81	1	77	18	283	392	10	140	98	0	6	67	146	35	38	50	34	13	90	62	40	90	19	11	157	117	121	5	155	31	145	34	88	18	105	131	19	208	0	49	0
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum	0	114	0	0	0	0	0	27	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	85	0	0	0	0	87	0	0	0	0	0	0	0	28	100	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;Biddulphia sp. CCMP147	9126	2768	2836	1288	571	768	3970	4163	764	0	1441	18	0	758	1806	4	1494	535	2140	3837	228	1219	1394	0	35	2306	847	1972	322	2478	4601	2457	2382	799	3972	945	687	632	2630	1921	2817	256	2302	1678	1381	244	1183	415	1005	1189	533	3680	3	5988	0
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae	1984	99	198	141	110	66	51	1302	88	0	131	0	0	21	27	0	50	18	65	140	4	78	90	0	1	159	238	250	231	505	41	25	89	16	107	44	134	27	322	207	1733	111	151	55	96	13	61	69	52	147	2	112	4	88	0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Idanthyrsus;Idanthyrsus australiensis	3241	1957	1571	1164	647	612	39	658	1648	0	1132	3	0	168	680	0	941	241	163	1401	169	780	302	0	0	1764	957	3164	85	1300	47	33	805	23	2960	946	441	408	292	4229	3927	256	1234	95	658	105	796	111	1027	198	35	883	2	136	0
Eukaryota;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	2247	427	783	697	71	337	40	419	88	0	680	0	0	91	120	0	195	10	1732	114	37	490	453	0	22	550	1332	5215	124	112	18	33	155	73	35	26	42	128	656	58	432	30	571	68	22	5	195	19	288	502	4	753	4	51	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Dactylopusiidae;Dactylopusia;Dactylopusia sp. New Caledonia-RJH-2007	3196	11	4	16	229	5	3	42	513	0	24	10	0	4	386	0	324	0	6	31	0	16	4	0	0	36	532	41	917	536	2	0	368	2	1	10	147	2	374	11	12	0	2	759	9	3	24	37	23	6	0	11	0	145	0
Eukaryota;Nemertea;Palaeonemertea;Carinomiformes;Carinomidae;Carinoma	307	213	9	17	1066	3	0	63	550	0	96	0	0	3	3	0	14	10	19	349	0	37	8	0	0	105	176	359	0	2045	0	0	89	0	2443	262	625	57	9	131	6825	360	6	0	55	76	79	0	132	3	0	13	2	2	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. DC-2019	523	45	3	1	732	120	0	63	0	0	51	0	0	1	0	0	6	35	4	206	2	1	1	0	0	27	110	83	1	2387	1	0	56	0	1	22	664	38	5	954	3927	279	4	11	231	6	56	0	30	1	0	2	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Eusirus;Eusirus perdentatus	49700	5	2	0	137	0	0	1110	1	0	34	0	0	0	0	0	11	0	4	9	3	0	2	0	0	27	4	9	0	3266	1	1	0	2	1	1	802	1	16	1357	3	1	0	2	34	0	18	0	10	2	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Clavidae;Rhizogeton;Rhizogeton nudus	120	9	1	25	5	0	0	21	0	0	48	0	0	0	0	0	2	1	1	2	0	15	5	0	0	38	40	5	41	1331	0	0	7	0	0	5	330	3	1	5	54	4	2	0	1	0	5	0	2	0	0	0	0	0	0
Eukaryota;Xenacoelomorpha;NA;Acoela;Convolutidae;Aphanastoma;Aphanastoma virescens	154	2	101	19	2	59	0	35	2083	0	149	3	0	2	2	0	10	0	133	5	0	6	1	0	1	90	28	9	21	20	3	1	3	0	5	4	6	0	84	6	45	1	70	2	2	1	0	4	6	54	1	99	0	2	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae	82	7	18	25	7	6	0	17	3	0	23	0	0	0	2	0	9	4	7	2	0	7	9	0	0	17	13	16	2	17	3	1	9	2	2	2	2	0	2	14	33	2	11	3	3	1	7	39	16	16	0	5	0	1	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone africana	1486	37	99	130	38	21	9	276	41	0	708	2	0	17	1	0	57	17	259	90	2	115	57	0	4	527	59	25	18	76	3	5	27	8	6	87	24	9	105	38	365	17	76	8	34	9	24	15	59	64	7	132	0	7	0
Eukaryota;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	284	82	149	1101	38	7	41	79	8	0	252	0	0	92	172	0	70	52	196	468	11	207	71	0	3	194	29	37	1	86	34	26	28	87	67	126	22	20	51	230	298	13	100	24	122	53	31	1	34	92	14	308	0	27	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	5938	2240	2982	3771	763	1232	726	1475	2433	0	511	3	0	500	475	0	2081	256	1321	3668	642	584	2890	1	16	1896	231	1128	580	1426	3948	482	909	381	724	2834	380	593	997	3124	1004	45	2551	462	1723	657	2750	434	1491	1995	918	5049	15	514	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa	429	120	211	148	970	25	27	53	121	0	121	1	0	40	35	0	38	25	281	165	7	77	43	0	6	98	126	85	32	1696	1541	17	75	33	128	114	488	40	111	149	11546	624	160	50	39	13	55	7	100	197	3	267	1	28	0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria alveolata	262	153	141	82	41	64	1	54	129	0	72	0	0	14	54	0	67	17	16	123	13	47	33	0	0	137	71	233	8	130	2	1	56	1	275	73	43	23	33	310	383	25	80	6	45	9	51	11	86	15	2	67	1	16	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae	0	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	17	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0
Eukaryota;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	555	275	169	212	29	16	43	88	9	0	145	0	0	62	15	0	156	61	161	552	9	163	88	0	3	139	62	81	22	52	52	30	159	51	49	172	13	143	71	280	225	8	115	26	154	37	250	487	132	118	210	168	0	19	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	1012	169	204	325	32	122	40	155	171	0	94	1	0	184	33	0	66	71	360	393	22	102	88	0	7	219	233	65	28	93	35	28	143	78	34	184	22	90	223	451	277	9	129	117	170	47	187	6	135	118	20	162	0	24	0
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis pseudojaponica	925	164	2006	100	19	50	106	363	500	0	71	1	0	60	11	0	81	11	331	391	53	43	96	0	2	334	71	280	325	294	104	81	56	30	256	217	73	24	665	244	151	7	1708	51	118	29	146	202	295	1544	34	2113	3	180	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria	42	10	22	8	1	6	0	8	11	0	10	0	0	4	3	0	1	0	15	9	0	3	1	0	0	23	5	3	4	5	5	2	8	2	4	5	1	15	25	2	24	0	15	14	2	1	7	1	4	6	1	15	0	1	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva sp. LuSi-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales	4554	20	530	35	42	57	21	835	296	0	64	1	0	17	16	0	21	4	320	53	5	15	12	0	1	71	36	53	194	191	40	16	17	9	68	22	69	5	266	57	202	13	456	27	4	6	62	121	48	435	4	448	3	81	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Mastogloiales;Achnanthaceae;Achnanthes	465	189	242	151	5	15	13	126	111	0	92	0	0	3	4	0	72	28	17	205	14	111	91	0	0	156	194	54	91	34	31	11	71	4	114	72	5	48	39	211	32	4	188	10	93	16	95	81	214	203	1	87	3	128	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus hargravesii	20	13	15	8	2	8	16	6	2	0	6	0	0	15	1	0	17	3	17	29	1	17	1	0	0	5	3	12	9	4	4	9	17	8	14	4	2	5	40	19	17	0	11	5	34	3	11	0	9	19	2	42	0	5	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Ulothrix;Ulothrix sp. WAP24	335	51	119	41	4	2	4	83	31	0	19	0	0	8	1	0	17	4	61	1050	2	21	26	0	0	57	52	13	24	28	6	4	19	7	14	84	6	10	24	103	57	3	94	11	21	19	32	16	88	105	0	130	0	330	0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae	278	50	188	345	69	54	11	79	97	0	61	0	0	22	38	0	71	5	76	96	10	129	64	0	0	115	95	247	27	410	50	40	30	20	48	60	181	10	103	116	278	15	114	14	33	22	53	28	47	170	11	181	0	35	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	262	458	135	1155	43	16	43	138	1053	0	295	0	0	86	6	0	230	147	112	466	36	282	105	0	3	679	56	76	33	143	1725	18	274	120	53	544	33	227	36	461	343	20	121	23	188	197	545	4	314	122	110	258	0	43	0
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis	184	487	346	566	11	304	28	117	125	0	117	0	0	57	7	0	85	30	173	426	99	49	931	0	0	278	38	234	186	171	733	19	187	62	120	529	53	81	22	502	103	18	269	12	73	35	427	770	353	391	362	1190	4	141	0
Eukaryota;Euglenozoa;Kinetoplastea	86	15	53	20	11	8	8	31	6	0	20	0	0	11	6	0	11	5	46	32	0	17	19	0	0	21	50	11	6	10	39	9	9	10	19	5	7	1	58	13	41	3	45	21	14	2	12	0	12	42	0	31	0	9	0
Eukaryota;Euglenozoa;NA;Diplonemea;Diplonemidae;Diplonema;Diplonema ambulator	16	2	7	4	4	4	2	37	8	0	2	0	0	2	1	0	1	1	5	0	3	2	1	0	0	1	7	0	3	14	7	2	0	1	9	0	8	0	6	2	25	6	7	8	1	0	2	0	2	9	0	9	0	14	0
Eukaryota;NA;Phaeophyceae;Laminariales	1958	382	612	1363	65	57	50	549	261	0	549	1	0	32	18	0	544	55	164	546	21	876	549	0	2	662	470	749	228	300	95	48	172	38	255	224	91	83	141	641	422	16	478	71	189	36	249	135	298	756	12	429	9	178	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;NA;Cletodidae sp. DZMB535	894	0	0	2	0	0	0	2	41	0	151	0	0	0	0	0	0	0	0	0	2	0	10	0	0	1	7	0	0	127	33	24	0	0	449	0	32	1	1838	1	19	0	0	0	62	0	0	84	0	0	0	0	1	510	0
Eukaryota;Arthropoda;Malacostraca	3274	0	0	0	10	3	0	79	0	0	1	0	0	2	0	0	0	0	1	1	2	0	0	0	0	2	0	2	0	217	0	0	0	0	0	0	52	0	2	71	2	0	2	1	0	0	1	0	0	1	0	1	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Lecudina;Lecudina polymorpha	0	0	306	0	0	4	3	0	136	0	0	0	0	2	0	0	0	0	46	0	3	0	0	0	0	0	0	25	52	18	11	11	0	0	26	0	5	3	8	11	1	0	276	5	9	0	0	92	7	175	1	171	0	26	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. UNC1414	6	1	28	0	3	4	3	0	0	0	0	0	0	40	1	0	1	0	19	0	0	0	0	0	0	2	0	0	0	0	0	5	1	3	1	0	1	0	25	0	0	0	15	8	1	0	0	0	0	17	0	3	0	5	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	967	18	177	3	2	16	22	51	67	0	5	0	0	58	6	0	33	0	51	85	6	8	8	0	2	7	33	5	42	35	31	21	4	13	46	8	9	1	137	11	62	6	130	18	12	4	6	21	19	85	2	44	1	37	0
Eukaryota;Chlorophyta	192	30	23	36	62	1	3	35	6	0	36	0	0	7	1	0	10	6	17	63	2	38	7	0	0	44	44	41	6	88	3	2	18	3	14	27	32	10	3	27	323	19	22	6	12	3	21	8	37	15	0	16	0	6	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis rangiferina	150	51	15	122	28	3	3	49	3	0	131	0	0	7	0	0	31	9	19	60	0	82	31	0	0	48	99	55	3	35	0	1	36	8	3	14	14	25	6	30	154	13	7	0	29	6	29	1	17	15	1	20	0	3	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua	168	36	323	24	26	38	19	44	118	0	24	1	0	36	14	0	9	2	119	44	9	29	14	0	3	31	93	97	98	59	30	13	26	18	63	27	20	9	116	41	184	11	271	25	10	5	37	52	43	370	3	202	0	69	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae	152	12	129	22	46	22	5	27	36	0	26	0	0	14	0	0	13	2	68	28	7	23	4	0	1	27	34	56	45	110	12	5	14	15	25	25	26	3	46	22	373	21	88	23	8	2	22	17	15	131	2	120	0	32	0
Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. PBS05	11	2	22	1	0	2	2	3	9	0	2	0	0	2	1	0	0	0	14	3	0	3	2	0	0	2	4	2	2	9	1	3	1	1	2	1	5	1	6	2	6	0	13	2	4	0	2	3	1	27	0	17	0	5	0
