18S_Euk_seq_number	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5g-S97
Eukaryota;NA;Dinophyceae	2276	2523	1942	5376	492	1437	652	572	2122	0	2522	7	0	680	1076	10	1954	1106	1515	4598	122	2515	1485	1	33	2518	879	1136	304	769	5720	547	1940	431	2305	2336	232	1652	808	4969	2509	137	1403	610	1722	916	3175	338	2366	1014	438	1723	2	712	0
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	2020	1085	127	920	436	52	44	373	501	0	605	2	0	55	37	1	1432	92	182	3523	46	694	397	0	2	625	416	946	16	193	1335	42	440	46	55	1320	46	313	137	1790	647	42	128	85	235	237	526	6	12042	76	127	144	3	66	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	261	194	31	459	7	139	5	100	426	0	39	1	0	8	0	1	46	33	32	327	2	46	63	0	0	147	27	108	4	83	5	5	77	0	10	223	22	58	9	783	47	0	17	7	124	17	274	3	190	31	1	47	0	10	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia cossack	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales	0	2	0	0	0	0	0	0	3	0	1	0	0	1	0	3	2	0	0	5	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	3	2	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	38	0	0	35	0	5	0	0	0	0	15	0	0	2	0	2	0	12	0	141	1	0	0	0	0	97	22	9	0	16	22	15	97	31	9	1	4	29	0	22	0	0	0	0	1	0	32	4	1	30	2	15	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	13219	1049	11650	1932	376	1052	688	3464	1138	0	1280	15	0	794	190	2	480	259	5150	2600	392	808	667	1	64	3814	974	1192	1113	2215	1566	609	1027	301	4364	1060	618	484	7074	1371	2781	130	9708	796	912	736	798	739	1294	6064	237	12013	31	639	0
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Protodinium;Protodinium simplex	2	20	5	6	0	0	0	2	1	0	1	0	0	1	0	1	5	6	2	33	4	3	269	0	0	2	0	2	3	2	0	1	6	0	1	14	0	3	1	29	1	3	3	0	2	1	11	0	21	8	0	12	0	1	0
Eukaryota;NA;Cryptophyceae	2146	1208	833	815	119	224	811	464	72	0	829	1	0	417	329	4	391	260	1029	2270	118	754	407	0	6	678	343	355	150	191	733	564	647	363	1762	826	67	624	636	1005	943	52	619	410	758	158	1102	19	560	480	435	1172	2	427	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	283	446	190	231	29	21	81	93	8	0	238	0	0	76	22	1	122	49	141	737	16	247	72	0	2	136	151	142	21	57	1478	43	225	58	69	313	25	96	78	334	350	19	155	55	86	62	351	2	219	140	10	60	1	42	0
