18S_Euk_seq_number	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5f-S96
Eukaryota;Bacillariophyta;Bacillariophyceae	1439	91	2731	1113	94	46	541	312	1094	192	785	2	329	1107	628	136	4	0	981	369	478	99	649	1037	94	573	4	743	484	730	685	0	230	315	811	0	333	721	0	444	300	43	4089	224	1257	107	56	1191	87	306	390	319	59	471	8
Eukaryota;Ciliophora	120	64	970	414	97	33	188	38	98	437	147	2	378	105	469	15	4	0	171	36	1031	64	548	305	168	487	0	598	51	144	231	0	229	161	279	0	315	418	0	181	49	25	509	64	430	24	140	1070	46	12	89	33	652	481	4
Eukaryota;NA;Chrysophyceae	6	2	52	21	6	2	22	3	9	11	3	1	34	13	26	0	0	0	4	0	8	2	26	16	7	17	0	34	1	10	11	0	5	12	30	0	12	24	0	17	0	6	36	2	26	2	2	64	1	0	6	3	11	30	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	744	268	3516	885	201	35	794	65	203	543	548	1	717	600	1184	207	2	0	494	71	485	201	706	599	320	1416	1	950	446	1051	777	0	360	805	1080	0	626	1373	0	479	3413	374	2178	152	1189	195	112	3217	236	227	234	163	439	1845	18
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Hartmannulidae;Hartmannula;Hartmannula derouxi	102	5	1909	829	151	124	375	251	844	150	326	1	258	69	169	1	2	0	109	3	764	3	1257	464	149	58	1	1003	194	182	497	0	2136	164	304	0	456	254	0	673	52	11	1129	4	67	32	0	1108	3	26	0	32	1	412	2
Eukaryota;NA;NA;Telonemida;NA;Telonema;Telonema antarcticum	60	23	131	96	50	12	100	7	44	117	23	1	139	37	151	4	0	0	35	8	51	18	138	39	52	145	0	158	12	56	75	0	30	46	120	0	109	150	0	48	10	50	147	20	189	17	11	272	14	2	17	15	58	148	3
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	12	6	233	80	288	8	78	9	28	89	6	1	133	13	150	0	0	0	7	2	53	5	121	58	35	53	0	156	23	42	82	0	6	53	99	0	98	169	0	50	2	12	120	3	33	4	4	271	3	1	784	2	15	142	0
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	700	305	1387	860	324	46	695	28	109	499	390	1	1107	571	1116	44	3	0	376	64	1494	165	832	279	409	793	1	1113	48	354	668	0	394	886	1550	0	820	1316	0	363	44	218	1150	132	987	158	210	2530	215	7	1580	113	344	1040	13
Eukaryota;NA;Dinophyceae;Peridiniales;Podolampadaceae;Roscoffia;Roscoffia capitata	22	5	44	95	59	6	49	3	13	53	11	1	106	16	97	1	0	0	15	0	37	2	148	16	43	21	0	108	5	32	54	0	16	52	122	0	56	78	0	47	2	6	70	5	23	2	3	169	6	0	4	2	16	139	1
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	0	0	0	0	1	0	38	0	0	0	0	1	0	0	2	0	0	0	0	5	10	0	36	0	0	0	0	58	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	112	0	0	86	0	0	0	1	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Paraliales;Paraliaceae;Paralia;Paralia sol	286	129	4138	685	83	139	700	420	1721	541	685	1	297	223	732	25	2	0	103	348	365	394	336	1231	339	197	15	3228	469	798	320	0	227	298	302	0	1560	710	0	1378	453	11	2295	270	110	346	29	488	123	99	965	237	8	258	1
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Tabularia	34867	474	5335	1405	97	97	786	828	2787	359	11762	1	541	29023	1494	484	125	0	27845	124	1857	340	626	4119	77	3770	9	1158	802	6205	3543	0	9131	1960	2248	0	613	3549	0	1597	12635	207	5234	3293	14263	3976	438	5373	400	6614	3120	12103	103	4976	19
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pelagimonas;Pelagimonas phthalicica	10	1	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	4	0	3	2	2	0	0	0	0	0	0	3	0	1	0
Eukaryota;Cercozoa	668	168	724	181	41	23	120	41	146	113	529	1	223	562	111	17	1	0	574	494	61	333	215	224	45	470	5	400	37	82	86	0	230	94	86	0	160	87	0	305	213	101	174	212	371	303	28	177	102	93	92	109	127	142	7
Eukaryota;Haptophyta;NA	21	9	143	63	26	6	36	6	20	57	17	1	78	30	91	2	0	0	20	2	27	13	81	30	28	89	0	120	11	47	68	0	20	64	59	0	84	140	0	39	7	30	105	8	75	7	5	249	10	0	8	5	40	98	1
Eukaryota;Annelida;Polychaeta;NA;Capitellidae;Capitella	2	1	1	1	8	0	0	0	0	0	3	1	0	3	0	0	0	0	2	2	0	0	3	0	0	2	0	19	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	268	71	740	164	78	25	161	15	63	165	209	1	285	224	210	21	1	0	167	26	81	52	225	101	88	456	2	398	44	97	156	0	87	87	148	0	188	321	0	171	758	113	283	38	300	346	28	599	33	8	64	32	106	286	5
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	97	22	226	44	19	1	66	7	39	24	37	1	15	86	101	229	1	0	73	38	117	13	20	48	5	48	0	34	26	44	54	0	24	81	118	0	35	80	0	3	123	16	125	11	196	43	43	113	22	15	155	13	10	138	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora cf. capitellata	56	17	129	51	1	0	26	5	28	7	37	1	19	52	19	5	0	0	29	0	573	2	26	64	2	1	0	23	5	28	35	0	20	15	26	0	10	34	0	35	18	2	30	26	32	8	2	51	7	98	12	19	3	32	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira oceanica	656	103	650	437	62	15	441	94	308	211	225	1	344	505	749	16	2	0	462	297	209	104	242	323	91	386	3	276	92	328	469	0	186	166	809	0	230	696	0	108	1853	86	3526	124	859	63	44	898	55	35	82	140	114	1351	2
Eukaryota;Ciliophora;Spirotrichea;Tintinnida	9	9	1916	1263	1311	40	193	20	29	250	4	1	1124	8	290	28	1	0	9	207	238	2	1348	84	262	29	1	1560	16	109	274	0	1720	62	1144	0	261	406	0	125	2	13	120	6	72	375	3	1313	3	6	8	9	7	261	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Omegastrombidium;Omegastrombidium elegans	176	21	476	67	34	5	145	19	50	11	157	1	140	155	88	10	0	0	131	81	98	31	297	215	18	283	0	121	17	35	105	0	40	77	90	0	90	45	0	146	42	62	117	49	208	39	19	392	13	18	34	38	46	89	6
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum	0	0	0	247	28	0	0	0	0	87	0	1	0	0	100	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	85	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;Biddulphia sp. CCMP147	2836	3970	9126	2307	244	256	1381	687	2478	632	2630	4	1219	2302	1185	228	3	0	1189	1806	1394	1678	1441	4163	535	2140	18	2817	571	1972	1005	0	3972	1494	945	0	2382	2768	0	847	764	799	1921	5988	3680	768	533	3837	2457	415	4602	322	758	1288	35
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae	198	51	1984	159	13	111	96	134	505	27	322	0	78	151	61	4	4	0	147	27	90	55	131	1302	18	65	0	1733	110	250	52	0	107	50	44	0	89	99	0	238	88	16	207	88	112	66	2	140	25	69	41	231	21	141	1
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Idanthyrsus;Idanthyrsus australiensis	1571	39	3241	1764	105	256	658	441	1300	408	292	0	780	1234	796	169	2	0	198	680	302	95	1132	658	241	163	3	3927	647	3164	1027	0	2960	941	946	0	805	1957	0	957	1648	23	4229	136	883	612	35	1401	33	111	47	85	168	1164	0
Eukaryota;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	783	40	2247	550	5	30	22	42	112	128	656	0	490	571	195	37	4	0	502	120	453	68	680	419	10	1732	0	432	71	5215	288	0	35	195	26	0	155	427	0	1332	88	73	58	51	753	337	4	114	33	19	18	124	91	697	22
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Dactylopusiidae;Dactylopusia;Dactylopusia sp. New Caledonia-RJH-2007	4	3	3196	36	3	0	9	147	536	2	374	0	16	2	24	0	0	0	6	386	4	759	24	42	0	6	10	12	229	41	23	0	1	324	10	0	368	11	0	532	513	2	11	145	11	5	0	31	0	37	2	917	4	16	0
Eukaryota;Nemertea;Palaeonemertea;Carinomiformes;Carinomidae;Carinoma	9	0	307	105	76	360	55	625	2045	57	9	0	37	6	79	0	2	0	3	3	8	0	96	63	10	19	0	6825	1066	359	132	0	2443	14	262	0	89	213	0	176	550	0	131	2	13	3	0	349	0	0	0	0	3	17	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. DC-2019	3	0	523	27	6	279	231	664	2387	38	5	0	1	4	56	2	0	0	1	0	1	11	51	63	35	4	0	3927	732	83	30	0	1	6	22	0	56	45	0	110	0	0	954	0	2	120	0	206	0	0	1	1	1	1	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Eusirus;Eusirus perdentatus	2	0	49700	27	0	1	34	802	3266	1	16	0	0	0	18	3	0	0	2	0	2	2	34	1110	0	4	0	3	137	9	10	0	1	11	1	0	0	5	0	4	1	2	1357	0	0	0	0	9	1	0	1	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Clavidae;Rhizogeton;Rhizogeton nudus	1	0	120	38	0	4	1	330	1331	3	1	0	15	2	5	0	0	0	0	0	5	0	48	21	1	1	0	54	5	5	2	0	0	2	5	0	7	9	0	40	0	0	5	0	0	0	0	2	0	0	0	41	0	25	0
Eukaryota;Xenacoelomorpha;NA;Acoela;Convolutidae;Aphanastoma;Aphanastoma virescens	101	0	154	90	1	1	2	6	20	0	84	0	6	70	0	0	0	0	54	2	1	2	149	35	0	133	3	45	2	9	6	0	5	10	4	0	3	2	0	28	2083	0	6	2	99	59	1	5	1	4	3	21	2	19	1
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae	18	0	82	17	1	2	3	2	17	0	2	0	7	11	7	0	0	0	16	2	9	3	23	17	4	7	0	33	7	16	16	0	2	9	2	0	9	7	0	13	3	2	14	1	5	6	0	2	1	39	3	2	0	25	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone africana	99	9	1486	527	9	17	34	24	76	9	105	0	115	76	24	2	0	0	64	1	57	8	708	276	17	259	2	365	38	25	59	0	6	57	87	0	27	37	0	59	41	8	38	7	132	21	7	90	5	15	3	18	17	130	4
Eukaryota;Cercozoa;NA;NA;NA;Quadricilia;Quadricilia rotundata	149	41	284	194	53	13	122	22	86	20	51	0	207	100	31	11	0	0	92	172	71	24	252	79	52	196	0	298	38	37	34	0	67	70	126	0	28	82	0	29	8	87	230	27	308	7	14	468	26	1	34	1	92	1101	3
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	2982	726	5938	1896	657	45	1723	380	1426	593	997	0	584	2551	2750	642	15	1	1995	475	2890	462	511	1475	256	1321	3	1004	763	1128	1491	0	724	2081	2834	0	909	2240	0	231	2433	381	3124	514	5049	1232	918	3668	482	434	3948	580	500	3771	16
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa	211	27	429	98	13	624	39	488	1696	40	111	0	77	160	55	7	1	0	197	35	43	50	121	53	25	281	1	11546	970	85	100	0	128	38	114	0	75	120	0	126	121	33	149	28	267	25	3	165	17	7	1541	32	40	148	6
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria alveolata	141	1	262	137	9	25	45	43	130	23	33	0	47	80	51	13	1	0	15	54	33	6	72	54	17	16	0	383	41	233	86	0	275	67	73	0	56	153	0	71	129	1	310	16	67	64	2	123	1	11	2	8	14	82	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae	3	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	17	0	0	1	0	1	0	0	0	0	0	1	0
Eukaryota;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	169	43	555	139	37	8	154	13	52	143	71	0	163	115	250	9	0	0	118	15	88	26	145	88	61	161	0	225	29	81	132	0	49	156	172	0	159	275	0	62	9	51	280	19	168	16	210	552	30	487	52	22	62	212	3
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	204	40	1012	219	47	9	170	22	93	90	223	0	102	129	187	22	0	0	118	33	88	117	94	155	71	360	1	277	32	65	135	0	34	66	184	0	143	169	0	233	171	78	451	24	162	122	20	393	28	6	35	28	184	325	7
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis pseudojaponica	2006	106	925	334	29	7	118	73	294	24	665	0	43	1708	146	53	3	0	1544	11	96	51	71	363	11	331	1	151	19	280	295	0	256	81	217	0	56	164	0	71	500	30	244	180	2113	50	34	391	81	202	104	325	60	100	2
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria	22	0	42	23	1	0	2	1	5	15	25	0	3	15	7	0	0	0	6	3	1	14	10	8	0	15	0	24	1	3	4	0	4	1	5	0	8	10	0	5	11	2	2	1	15	6	1	9	2	1	5	4	4	8	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva sp. LuSi-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales	530	21	4554	71	6	13	4	69	191	5	266	0	15	456	62	5	3	0	435	16	12	27	64	835	4	320	1	202	42	53	48	0	68	21	22	0	17	20	0	36	296	9	57	81	448	57	4	53	16	121	40	194	17	35	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Mastogloiales;Achnanthaceae;Achnanthes	242	13	465	156	16	4	93	5	34	48	39	0	111	188	95	14	3	0	203	4	91	10	92	126	28	17	0	32	5	54	214	0	114	72	72	0	71	189	0	194	111	4	211	128	87	15	1	205	11	81	31	91	3	151	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus hargravesii	15	16	20	5	3	0	34	2	4	5	40	0	17	11	11	1	0	0	19	1	1	5	6	6	3	17	0	17	2	12	9	0	14	17	4	0	17	13	0	3	2	8	19	5	42	8	2	29	9	0	4	9	15	8	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Ulothrix;Ulothrix sp. WAP24	119	4	335	57	19	3	21	6	28	10	24	0	21	94	32	2	0	0	105	1	26	11	19	83	4	61	0	57	4	13	88	0	14	17	84	0	19	51	0	52	31	7	103	330	130	2	0	1050	4	16	6	24	8	41	0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae	188	11	278	115	22	15	33	181	410	10	103	0	129	114	53	10	0	0	170	38	64	14	61	79	5	76	0	278	69	247	47	0	48	71	60	0	30	50	0	95	97	20	116	35	181	54	11	96	40	28	50	27	22	345	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. Dino3	135	43	262	679	197	20	188	33	143	227	36	0	282	121	545	36	0	0	122	6	105	23	295	138	147	112	0	343	43	76	314	0	53	230	544	0	274	458	0	56	1053	120	461	43	258	16	110	466	18	4	1725	33	86	1155	3
Eukaryota;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis	346	28	184	278	35	18	73	53	171	81	22	0	49	269	427	99	4	0	391	7	931	12	117	117	30	173	0	103	11	234	353	0	120	85	529	0	187	487	0	38	125	62	502	141	1190	304	362	426	19	770	733	186	57	566	0
Eukaryota;Euglenozoa;Kinetoplastea	53	8	86	21	2	3	14	7	10	1	58	0	17	45	12	0	0	0	42	6	19	21	20	31	5	46	0	41	11	11	12	0	19	11	5	0	9	15	0	50	6	10	13	9	31	8	0	32	9	0	39	6	11	20	0
Eukaryota;Euglenozoa;NA;Diplonemea;Diplonemidae;Diplonema;Diplonema ambulator	7	2	16	1	0	6	1	8	14	0	6	0	2	7	2	3	0	0	9	1	1	8	2	37	1	5	0	25	4	0	2	0	9	1	0	0	0	2	0	7	8	1	2	14	9	4	0	0	2	0	7	3	2	4	0
Eukaryota;NA;Phaeophyceae;Laminariales	612	50	1958	662	36	16	189	91	300	83	141	0	876	478	249	21	9	0	756	18	549	71	549	549	55	164	1	422	65	749	298	0	255	544	224	0	172	382	0	470	261	38	641	178	429	57	12	546	48	135	95	228	32	1363	2
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;NA;Cletodidae sp. DZMB535	0	0	894	1	0	0	62	32	127	1	1838	0	0	0	0	2	1	0	0	0	10	0	151	2	0	0	0	19	0	0	0	0	449	0	0	0	0	0	0	7	41	0	1	510	0	0	0	0	24	84	33	0	0	2	0
Eukaryota;Arthropoda;Malacostraca	0	0	3274	2	0	0	0	52	217	0	2	0	0	2	1	2	0	0	1	0	0	1	1	79	0	1	0	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	71	0	1	3	0	1	0	0	0	0	2	0	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Lecudina;Lecudina polymorpha	306	3	0	0	0	0	9	5	18	3	8	0	0	276	0	3	0	0	175	0	0	5	0	0	0	46	0	1	0	25	7	0	26	0	0	0	0	0	0	0	136	0	11	26	171	4	1	0	11	92	11	52	2	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. UNC1414	28	3	6	2	0	0	1	1	0	0	25	0	0	15	0	0	0	0	17	1	0	8	0	0	0	19	0	0	3	0	0	0	1	1	0	0	1	1	0	0	0	3	0	5	3	4	0	0	5	0	0	0	40	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	177	22	967	7	4	6	12	9	35	1	137	0	8	130	6	6	1	0	85	6	8	18	5	51	0	51	0	62	2	5	19	0	46	33	8	0	4	18	0	33	67	13	11	37	44	16	2	85	21	21	31	42	58	3	2
Eukaryota;Chlorophyta	23	3	192	44	3	19	12	32	88	10	3	0	38	22	21	2	0	0	15	1	7	6	36	35	6	17	0	323	62	41	37	0	14	10	27	0	18	30	0	44	6	3	27	6	16	1	0	63	2	8	3	6	7	36	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis rangiferina	15	3	150	48	6	13	29	14	35	25	6	0	82	7	29	0	0	0	15	0	31	0	131	49	9	19	0	154	28	55	17	0	3	31	14	0	36	51	0	99	3	8	30	3	20	3	1	60	1	1	0	3	7	122	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua	323	19	168	31	5	11	10	20	59	9	116	0	29	271	37	9	0	0	370	14	14	25	24	44	2	119	1	184	26	97	43	0	63	9	27	0	26	36	0	93	118	18	41	69	202	38	3	44	13	52	30	98	36	24	3
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae	129	5	152	27	2	21	8	26	110	3	46	0	23	88	22	7	0	0	131	0	4	23	26	27	2	68	0	373	46	56	15	0	25	13	25	0	14	12	0	34	36	15	22	32	120	22	2	28	5	17	12	45	14	22	1
Eukaryota;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. PBS05	22	2	11	2	0	0	4	5	9	1	6	0	3	13	2	0	0	0	27	1	2	2	2	3	0	14	0	6	0	2	1	0	2	0	1	0	1	2	0	4	9	1	2	5	17	2	0	3	3	3	1	2	2	1	0
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp.	52	22	514	155	631	7	159	12	39	111	28	0	230	43	351	12	1	0	45	398	137	22	193	86	70	86	0	184	82	134	304	0	55	166	372	0	178	455	0	93	7	49	404	9	71	18	8	968	14	0	52	9	61	869	0
Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Holosticha	54	5	201	39	1	15	62	10	31	12	52	0	27	31	20	0	1	0	8	4	17	0	24	56	7	13	0	153	15	69	16	0	9	34	3	0	13	32	0	81	5	0	15	6	10	5	0	73	24	7	12	8	5	14	1
Eukaryota;NA;Phaeophyceae;Ectocarpales;Acinetosporaceae;Pylaiella;Pylaiella littoralis	7	1	4	1	0	1	0	17	52	0	2	0	1	12	0	3	0	0	9	0	0	2	0	0	0	17	0	11	19	0	0	0	4	0	1	0	0	2	0	1	3	0	0	0	18	2	0	1	4	8	0	1	0	0	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas tetrarhynchus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Petalomonas	36	4	0	2	0	0	0	3	2	0	1	0	6	27	2	1	0	0	35	0	2	0	10	0	1	15	0	2	0	2	5	0	11	0	1	0	5	1	0	1	8	1	4	9	19	15	2	5	0	4	4	8	1	4	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	206	17	97	33	5	4	17	28	90	7	54	0	11	178	14	5	1	0	187	3	20	1	14	55	9	24	0	57	16	41	35	0	32	26	19	0	21	26	0	21	111	0	44	39	111	7	2	38	9	46	12	55	1	27	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	9	3	19	9	8	1	7	1	7	7	4	0	12	7	13	0	0	0	6	3	5	3	15	12	3	13	0	17	2	7	16	0	4	6	15	0	9	16	0	8	3	0	12	2	19	2	1	38	2	0	3	1	9	16	1
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas australis	47	23	390	134	63	10	125	14	31	127	35	0	134	37	144	2	0	0	42	12	56	28	162	96	69	178	0	178	19	62	106	0	22	58	140	0	134	197	0	61	7	53	134	24	197	4	16	403	18	2	20	12	109	179	1
Eukaryota;Foraminifera;NA	68	36	10	2	1	0	1	7	9	1	49	0	7	58	2	17	0	0	57	17	0	51	7	4	0	68	1	20	4	3	2	0	70	2	2	0	3	1	0	4	14	52	2	50	69	13	7	6	31	3	39	6	55	6	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae	164	68	276	88	14	9	69	27	93	41	110	0	47	151	68	7	0	0	105	41	53	48	51	116	26	100	0	83	11	66	43	0	104	49	44	0	107	88	0	42	56	35	119	126	166	813	14	141	32	24	97	45	34	66	3
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae	83	0	6	4	1	0	4	1	7	2	1	0	0	69	48	1	0	0	101	0	1	0	2	7	3	1	0	3	1	17	29	0	13	0	16	0	1	33	0	0	17	0	67	10	82	2	1	32	0	12	2	22	0	3	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Hydractinia;Hydractinia sp. PC-2008	0	0	14	4	1	0	1	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	6	2	0	0	0	11	0	18	0	0	0	3	0	0	1	6	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Cymbomonas;Cymbomonas tetramitiformis	69	34	2743	526	214	17	695	44	205	556	41	0	648	67	863	7	0	0	43	7	466	14	624	562	353	23	0	726	124	160	336	0	210	717	525	0	723	898	0	228	1	10	793	10	27	7	0	2249	22	0	33	12	4	782	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora sp. BLEED1777	54	18	1579	329	32	122	101	75	339	50	98	0	356	32	54	3	6	0	25	6	83	12	572	167	59	30	0	3098	186	188	46	0	7	86	41	0	172	87	0	1524	5	9	144	5	29	11	2	109	3	3	2	16	8	458	0
