CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site5c-S89
Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;Halichondria panicea	11	0	831	0	5	6	179	4	0	9	0	22	0	187	0	191	4	16	47	2	4	0	36	3	18	6	1	38	8	2	1	4	5	2	2	0	20	2	5	1	2	42	0	12	26	2	0	0	3	0	9	8	0	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis edentata	4	1	0	0	1	6	18	0	10	0	1	0	0	11	5	18	1	1	5	1	0	0	3	2	0	8	5	3	4	2	3	3	1	0	1	0	0	2	0	6	1	30	0	4	1	3	0	0	1	1	1	4	0	1	1
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;Calanus pacificus	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	88	112	0	0	0	0	0	101	3	0	0	0	11	0	1	0	0	0	0	0	0	15	0	17	374	0	0	50	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia haitanensis	2	1	3	0	0	1	1	0	0	0	1	4	2	7	0	2	3	1	12	0	1	0	3	0	0	1	0	0	5	1	1	2	0	0	3	0	0	0	0	9	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca sp. 2gaudichaudii	2	9	0	0	3	4	2	1	2	4	0	6	2	16	0	0	1	7	47	0	0	0	5	0	10	0	4	1	2	1	0	4	0	0	6	0	0	0	0	6	5	3	0	5	4	1	0	1	0	0	0	4	0	2	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	1753	2561	646	0	701	25	49	378	1989	273	314	14693	753	1899	2751	3929	11669	305	4317	145	192	3	1455	1519	8246	681	530	353	12934	0	0	740	2	988	3702	8052	548	29	162	1403	5887	2538	113	1251	417	488	0	634	2987	112	463	17	6	1398	1311
Eukaryota;Mollusca;Polyplacophora;Neoloricata;Mopaliidae;Mopalia;Mopalia muscosa	4	328	0	0	3	3	0	0	1	0	52	0	0	0	20	1	0	126	2	0	0	0	0	17	0	2	0	0	1	0	1	7	0	2	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	47	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium;Ceramium sp. 3Cal	16	0	218	0	0	6	16	5	12	0	2	0	0	0	0	49	1	0	4	1	0	0	0	17	0	8	5	10	0	0	11	15	0	3	0	0	0	0	0	3	0	10	1	7	0	2	0	0	0	1	2	17	0	0	0
Eukaryota;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	2	0	0	0	0	0	6	1	0	0	2	0	0	0	0	5	0	0	4	0	1	0	0	2	0	6	0	6	1	0	5	2	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	1	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema japonicum	3	1	5	0	0	1	3	0	0	0	1	13	2	3	0	3	0	0	1	0	0	0	0	2	1	1	0	0	2	0	0	3	1	0	0	3	0	0	0	1	0	4	1	1	0	1	0	0	0	1	0	0	0	0	0
