CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site5n-S115
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	0	0	25	8	2	0	4	2	1	58	1	7	19	28	10	0	10	24	3	26	11	18	0	0	4	2	0	4	3	0	0	2	0	14	67	2	5	11	360	16	18	0	45	0	0	155	18	37	4	0	3	4	3	18	5
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium sp. RS-24	4	3	2	17	2	0	1	0	4	7	0	0	6	7	7	0	9	6	3	1	13	3	0	3	3	0	0	0	3	3	2	14	1	7	5	2	1	12	1	1	5	0	12	0	0	0	2	12	1	1	1	2	1	10	0
Eukaryota;NA;Synurophyceae;Parmales;Triparmaceae;Triparma;Triparma laevis	0	6	4	11	5	0	0	1	2	2	1	0	1	16	0	0	16	1	7	0	8	0	2	0	0	0	0	3	0	2	3	4	1	19	2	4	5	0	1	0	14	0	4	0	0	1	1	8	2	0	0	1	2	9	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia	13	441	47	18	15	3	4801	26	96	3	13	6	179	12	21	0	37	263	5	11	626	22	31	2	8	7	9	58	27	34	13	753	8	178	10	3	11	156	114	1	2	0	76	0	8	64	29	19	1	16	35	140	20	116	4
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia	19	7	3	10	1	2	82	2	1	1	1	1	27	16	103	0	10	12	4	5	1	2	0	0	6	0	0	1	2	32	12	1	0	12	1	1	0	38	5	2	8	0	15	0	0	6	6	13	1	1	0	16	1	7	3
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	140	20	19	19	29	5	0	7	1	39	29	25	54	25	63	0	10	59	14	18	50	23	10	0	126	43	0	11	12	7	24	28	2	49	7	2	12	67	28	90	11	0	262	0	5	26	33	21	1	8	1	25	16	26	78
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella splendens	1	3	1	6	62	0	0	0	10	9	21	0	19	11	0	0	4	27	1	3	19	1	4	0	10	1	2	9	0	2	12	18	0	9	4	1	11	1	12	2	5	0	15	0	0	14	5	7	1	1	0	0	1	13	0
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium cf. depressum	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Margaritidae;Margarites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
Eukaryota;Bacillariophyta;Bacillariophyceae	406	58	32	204	88	12	226	21	20	52	113	43	96	186	23	0	104	94	78	39	109	18	13	3	304	79	0	51	53	1	34	172	2	63	30	20	44	138	67	97	24	0	1056	0	3	92	171	133	3	12	8	27	13	204	74
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura oregonensis	3	4	12	26	4	0	0	0	13	7	5	0	18	32	0	0	34	4	68	19	31	0	3	1	8	3	0	23	2	1	7	47	0	60	0	15	3	1	2	0	25	0	16	0	0	16	17	86	1	1	0	0	0	63	13
Eukaryota;NA;Oomycetes;Saprolegniales;Saprolegniaceae	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	11	11	7	17	4	0	83	1	11	21	10	2	6	53	68	0	18	16	32	2	20	18	2	0	2	1	0	3	0	66	10	36	1	15	17	0	8	16	5	0	21	0	40	0	0	3	11	9	1	20	2	7	1	22	7
Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;Halichondria panicea	18	1	2	3	38	20	831	0	2	0	4	26	42	6	22	0	11	8	1	2	192	0	0	0	9	5	0	9	4	3	1	179	0	6	2	0	12	189	0	17	2	0	49	0	5	4	37	8	2	0	5	0	2	4	1
Eukaryota;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis edentata	0	5	1	2	3	0	0	1	2	10	0	1	30	8	0	0	4	4	6	1	18	0	0	1	0	1	0	1	0	1	3	18	0	6	3	1	4	11	1	1	0	0	6	0	0	1	3	4	2	0	2	5	1	3	1
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;Calanus pacificus	0	0	0	3	11	15	0	0	0	0	0	0	0	0	0	0	0	0	375	0	88	0	50	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	17	112	101	1	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Dokdonia;Dokdonia sp. 4H-3-7-5	24	37	2	25	7	1	108	3	2	1	42	2	26	26	1	0	8	10	16	3	28	1	5	0	24	2	0	5	45	0	11	90	0	32	0	1	6	50	5	20	2	0	165	0	0	6	10	31	2	3	12	3	4	21	12
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia haitanensis	0	1	4	0	0	0	3	1	0	0	0	0	2	1	4	0	2	5	9	1	2	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	7	1	1	0	0	15	0	0	3	3	0	1	2	0	0	0	2	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Striatellales;Grammatophoraceae;Grammatophora;Grammatophora sp. B LG-2014	5	1	0	1	6	0	0	0	2	0	4	1	11	2	5	0	1	2	3	1	3	1	0	0	3	2	0	0	7	5	0	4	0	4	2	0	0	61	0	17	5	0	10	0	0	3	17	3	1	0	2	10	2	7	2
Eukaryota;NA;NA;NA;Paramoebidae	45	51	57	26	24	2	233	17	10	13	41	3	91	34	97	0	21	178	61	36	89	11	3	1	41	13	0	6	30	83	12	110	0	118	19	14	5	376	175	35	16	0	192	0	1	232	145	53	1	24	5	116	23	45	33
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca sp. 2gaudichaudii	10	4	6	0	1	0	0	0	0	2	1	4	3	0	6	0	2	2	6	5	0	0	0	0	4	3	0	0	0	0	0	2	1	4	1	0	5	16	9	7	0	0	47	0	0	1	5	4	1	2	0	0	0	4	2
