18S_Euk_seq_number	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5c-S89
Eukaryota;Sanchytriomycota;Sanchytriomycetes;Sanchytriales;Sanchytriaceae;Sanchytrium;Sanchytrium tribonematis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Foraminifera;NA;NA;NA;Bowseria;Bowseria arctowskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Tintinnopsis;Tintinnopsis parvula	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Polyplacophora;Chitonida	1	0	0	0	0	2	0	0	0	0	1	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0
Eukaryota;Porifera;Calcarea;Leucosolenida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1	11	0	0	0	0	0	0	4	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	6	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;NA;Ancyromonadida;Ancyromonadidae;Ancyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Foraminifera;NA;NA;NA;Psammophaga;Psammophaga magnetica	0	0	0	2	1	0	3	6	0	1	2	7	4	0	1	1	1	0	0	2	0	0	2	2	3	0	7	1	6	3	0	2	1	6	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Kulikovia;Kulikovia cf. montgomeryi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae;Ahnfeltiopsis;Ahnfeltiopsis gigartinoides	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra weissflogiopsis	0	0	1	1	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	3	0	0	9	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0
Eukaryota;Euglenozoa;Kinetoplastea;Eubodonida;Bodonidae;NA;Bodonidae sp. HFCC654	0	0	0	0	1	0	0	2	0	1	0	0	5	0	1	0	2	0	0	2	0	0	0	1	0	0	0	1	1	3	0	1	0	1	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Thecostraca;Pollicipedomorpha;Pollicipedidae;Pollicipes;Pollicipes polymerus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella gelidii	0	0	0	0	0	0	0	1	0	0	1	1	1	0	2	0	0	2	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis japonica	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Terebellida	0	0	0	0	6	0	0	2	0	0	0	3	2	2	2	0	1	4	0	1	0	1	15	0	1	0	0	2	1	6	1	10	0	0	0	0	1	0	3	1	1	0	1	0	4	0	0	1	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Maldanidae	0	0	1	1	1	0	2	101	0	0	10	50	67	0	20	3	1	0	0	91	3	0	1	6	12	0	0	1	69	79	1	3	0	0	0	1	0	3	0	1	1	0	1	1	1	0	0	54	0	1	2	0	0	0	0
Eukaryota;NA;Dinophyceae;Blastodiniales;NA;Blastodinium;Blastodinium spinulosum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;NA;NA;Filobasidiales sp. LM390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Falcomonas;Falcomonas daucoides	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	2	1	0	1	1	8	1	0	0	0	0	4	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	3	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Odontosyllis;Odontosyllis fulgurans	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5
Eukaryota;Ciliophora;Phyllopharyngea	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	4	4	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0
Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Zoothamnium;Zoothamnium pararbuscula	0	0	0	0	3	24	0	0	2	1	12	0	0	1	51	7	1	1	0	1	0	5	0	0	0	0	1	0	0	0	0	62	2	0	0	0	0	0	1	0	8	0	1	1	0	0	0	3	0	0	1	0	0	2	0
Eukaryota;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae;Hormiphora;Hormiphora sp.	0	0	0	0	0	4	0	0	0	26	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	8	1	59	0	0	1	1	1	1	0	0	7	1	3	2	0	0	0	0	5	0	0	2	0
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Dysteriidae;Dysteria;Dysteria nabia	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	2	9	22	2	0	0	0	0	0	2	0	18	0	0	0	0	0	0	5	0	0	1	0	0	25	0
Eukaryota;Arthropoda;Hexanauplia;Siphonostomatoida;Asterocheridae;NA	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes nobilii	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32	0
Eukaryota;Basidiomycota;Tremellomycetes;Holtermanniales;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Arthropoda;Malacostraca;Decapoda	0	0	0	2	1	1	0	3	2	0	0	2	1	0	3	4	5	0	0	2	3	0	8	4	2	0	0	0	0	0	1	9	44	1	0	0	0	0	5	21	13	0	1	0	0	0	0	0	0	0	0	0	0	7	0
Eukaryota;Endomyxa;NA;Vampyrellida;Vampyrellidae;NA;Vampyrellidae sp.	0	0	0	0	0	0	1	2	0	0	0	1	1	2	3	0	0	0	0	3	1	0	0	1	0	0	0	0	0	6	10	0	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	2	0	0	2	2	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Gymnodinium instriatum	0	0	1	20	2	1	1	0	0	0	0	0	1	1	0	0	0	1	0	2	3	2	2	2	0	0	0	0	1	0	1	37	0	2	1	0	0	1	2	0	0	0	2	0	3	1	0	0	0	0	2	0	0	2	0
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA;NA;Vampyrellida sp. KibAr	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae	0	0	10	0	15	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Eukaryota;Ciliophora;Phyllopharyngea;Exogemmida;Heliochonidae;Heliochona;Heliochona alternans	1	0	1	0	5	1	1	1	3	0	0	2	1	0	0	4	0	2	0	1	0	3	0	0	0	0	0	0	0	0	1	52	5	0	0	0	0	0	7	0	2	0	0	1	5	0	0	0	0	0	2	0	0	22	0
Eukaryota;Rhodophyta;Florideophyceae;Hapalidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Spirotrichea;Stichotrichida;Amphisiellidae;Amphisiella;Amphisiella annulata	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium foliaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae;Litonotus;Litonotus gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Varunidae	0	0	2	1	1	1	1	13	1	0	3	7	8	0	1	2	1	0	0	31	2	2	0	1	0	0	0	0	8	23	1	3	0	0	0	0	1	0	0	226	0	0	1	0	1	0	0	1	0	0	1	0	0	14	0
Eukaryota;Arthropoda;Arachnida;Trombidiformes;Phytoptidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ciliophora;Oligohymenophorea;Pleuronematida;Pleuronematidae;Pleuronema;Pleuronema coronatum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Lichomolgidae;Lichomolgus;Lichomolgus canui	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Staurosiraceae;Plagiostriata;Plagiostriata goreensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Amphiuridae;Amphipholis;Amphipholis squamata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	2	0
Eukaryota;Ciliophora;Phyllopharyngea;Exogemmida;Spirochonidae;Spirochona;Spirochona gemmipara	0	0	11	5	2	1	4	17	2	4	4	7	22	13	4	5	1	6	0	17	5	7	11	0	3	0	0	0	14	1	44	16	12	0	1	0	1	1	7	2	6	0	8	2	5	1	0	1	0	0	4	0	0	18	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops bisetosus	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Eukaryota;Euglenozoa;Kinetoplastea;Eubodonida;Bodonidae;Bodo;Bodo saltans	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Apostichopus	0	0	0	0	0	5	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	6	3	4	0	0	0	0	3	0	0	9	0	5	1	4	0	0	0	0	0	0	0	0	4	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Protoceratiaceae;Protoceratium;Protoceratium reticulatum	0	0	0	2	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	6	0	0	5	0	2	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Trachelostylidae;Trachelostyla;Trachelostyla pediculiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Gonothyraea;Gonothyraea loveni	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Syllis;Syllis gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Plagiogramma;Plagiogramma atomus	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Annelida;Polychaeta;Terebellida;Cirratulidae;NA;unclassified cirratulid	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	4	0
Eukaryota;Xenacoelomorpha;NA;Acoela	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	2	3	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Nolandella;Nolandella hibernica	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	3	0	2	1	0	0	0	0	0	2	3	4	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Ascomycota;Pezizomycetes;Pezizales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Apicoporus;Apicoporus parvidiaboli	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	2	0	0	0	2	0	3	0	0	0	0	0	1	0	0	2	0
Eukaryota;Platyhelminthes;Trematoda;Azygiida;Lecithasteridae;Lecithaster;Lecithaster gibbosus	0	0	0	0	0	0	115	0	0	0	0	3	0	0	0	6	0	1	0	0	142	24	0	0	0	0	0	0	0	0	0	99	115	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	58	0	0	1	5
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Codonella;Codonella aspera	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Eukaryota;Platyhelminthes;Rhabditophora;Prolecithophora;Plagiostomidae;Plagiostomum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiomargarita;Thiomargarita namibiensis	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	3	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0
Eukaryota;Euglenozoa;Kinetoplastea;Neobodonida;NA;Azumiobodo;Azumiobodo hoyamushi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Mollusca;Bivalvia;Nuculida;Nuculidae;Nucula	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Triceratiaceae;Pleurosira;Pleurosira cf. laevis	0	0	0	0	0	1	3	2	5	5	1	2	1	3	1	0	1	1	0	6	1	2	2	2	0	0	0	0	2	1	0	8	5	1	0	0	0	0	3	4	0	0	2	0	1	1	0	0	0	0	0	0	0	1	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia heimii	0	0	0	3	0	0	1	5	5	2	1	12	10	1	2	8	1	0	0	7	0	0	0	0	0	0	2	0	10	17	0	4	0	1	0	0	1	3	2	1	0	0	2	0	0	9	0	0	0	2	0	0	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema sp.	0	0	0	0	1	1	0	1	1	2	0	1	1	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	1	0	0	0	3	3	1	1	0	0	0	0	1	0	0	1	0
Eukaryota;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis;Protaspis obliqua	0	0	0	0	1	0	0	1	0	0	1	1	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Eukaryota;Cercozoa;NA;NA;Massisteriidae;Massisteria;Massisteria sp. HFCC177	0	0	0	0	0	0	0	2	1	2	1	9	3	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	2	4	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydridae;Hydra;Hydra oligactis	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	2	0	0	0	0	0	0	0	2	0	5	0	0	1	0	0	1	0	72	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Porifera;Demospongiae;Poecilosclerida;Desmacididae;Desmapsamma;Desmapsamma anchorata	2	0	0	2	2	0	1	0	0	0	0	2	1	7	0	0	0	0	0	1	2	38	446	1	0	0	0	0	0	4	37	548	7	1	0	0	1	2	127	1	20	0	0	0	0	3	0	1	0	1	1	0	0	3	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Melitidae;Melita;Melita dentata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Pseudotachidiidae;NA;Pseudotachidiidae sp. 2451013	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
