18S_Euk_seq_number	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1h-S94
Eukaryota;NA;Dinophyceae	232	2336	572	304	1	1954	1076	1014	1652	431	547	137	808	10	5720	1437	33	2514	610	1106	438	2	0	7	5376	1723	879	769	2518	122	916	2122	2509	1515	2521	1403	2305	1722	1942	338	4598	1485	2523	652	680	712	1940	0	3175	4969	0	2276	2366	1136	492
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	46	1320	373	16	0	1432	37	76	313	46	42	42	137	1	1335	52	2	694	85	92	127	3	0	2	920	144	416	193	625	46	237	501	647	182	605	128	55	235	127	6	3523	397	1085	44	55	66	440	0	526	1790	0	2020	12042	946	436
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	22	223	100	4	0	46	0	31	58	0	5	0	9	1	5	139	0	46	7	33	1	0	0	1	459	47	27	83	147	2	17	426	47	32	39	17	10	124	31	3	327	63	194	5	8	10	77	0	274	783	0	261	190	108	7
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia cossack	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;NA;Dinophyceae;Gonyaulacales	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	1	0	0	0	0	0	5	0	2	0	1	0	0	0	6	0	0	0	3	1	0
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	4	1	0	0	0	0	0	30	29	31	15	0	0	2	22	5	0	0	0	12	2	0	0	0	35	15	22	16	97	1	0	0	0	0	15	0	9	1	0	4	141	0	0	0	2	0	97	0	32	22	0	38	1	9	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	618	1060	3464	1113	1	480	190	6064	484	301	609	130	7074	2	1566	1052	64	808	796	259	237	31	0	15	1932	12013	974	2215	3814	392	736	1138	2781	5150	1280	9708	4364	912	11650	739	2600	667	1049	688	794	639	1027	0	798	1371	0	13219	1294	1192	376
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Protodinium;Protodinium simplex	0	14	2	3	0	5	0	8	3	0	1	3	1	1	0	0	0	3	0	6	0	0	0	0	6	12	0	2	2	4	1	1	1	2	1	3	1	2	5	0	33	269	20	0	1	1	6	0	11	29	0	2	21	2	0
Eukaryota;NA;Cryptophyceae	67	825	464	150	0	391	329	480	624	363	564	52	636	3	733	222	6	754	410	260	435	2	0	1	815	1171	343	191	678	118	158	72	943	1029	829	619	1762	758	833	19	2270	406	1208	811	417	427	647	0	1102	1005	0	2146	560	355	119
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	25	313	93	21	0	122	22	140	96	58	43	19	78	1	1478	21	2	247	55	49	10	1	0	0	231	60	151	57	136	16	62	8	350	141	238	155	69	86	190	2	737	72	446	81	76	42	225	0	351	334	0	283	219	142	29
